2781,490
2793,71
235,499
1304,632
1992,101
2868,244
2110,647
1281,96
2961,12
1000,647
636,927
2453,759
959,167
2559,806
2019,125
1028,882
482,66
246,901
1910,262
2206,223
852,275
691,597
1539,848
2463,576
2111,993
2527,505
797,604
917,400
2619,334
1531,603
2054,284
325,43
2798,830
668,291
986,405
307,10
611,53
1264,512
2072,542
1600,548
1134,188
751,732
1802,343
2780,78
2924,525
69,939
1665,850
2883,52
1781,658
612,348
651,421
929,613
1716,345
2916,902
847,430
2033,146
1946,482
925,348
1470,669
2135,862
2360,686
233,193
2369,388
250,847
748,58
2148,4
1759,130
2934,387
1536,818
2805,981
925,451
604,980
496,14
820,669
437,417
2169,348
2266,199
1516,41
2962,126
1286,673
1677,162
608,536
2776,735
444,689
2796,643
1831,528
1886,906
1453,270
2482,803
593,836
1109,336
752,828
918,267
625,760
1935,579
115,133
2014,494
195,738
2722,664
1936,683
365,882
2677,739
2805,166
2042,398
38,231
1583,612
2432,101
2135,729
1440,805
2652,777
2461,640
389,105
1562,858
1665,569
715,738
1934,533
1493,146
2387,995
1007,172
2414,406
415,140
1987,913
1266,93
385,184
820,171
2338,536
1080,232
2352,399
2708,818
1271,846
437,953
66,83
426,790
1893,626
2135,647
2396,100
1505,744
2815,496
2113,867
2884,757
2926,552
1607,962
1547,416
695,932
2411,890
72,255
460,280
2912,920
2511,556
192,15
1298,788
690,90
2256,262
2082,667
2543,52
1378,524
2755,680
2845,473
1259,891
624,108
1320,270
160,575
422,100
2084,689
2864,271
2472,499
756,743
2002,564
1568,545
1213,145
400,756
1440,200
1198,615
1219,899
20,782
1117,651
1840,331
660,42
2413,704
42,378
1114,3
1072,452
105,563
2962,584
494,903
1990,539
2833,454
202,919
579,497
2314,868
2033,748
1699,540
2696,59
583,700
1397,249
1029,503
175,740
564,517
2004,525
20,392
1564,203
1233,863
1854,574
1493,699
710,17
880,406
351,970
1294,268
1298,395
1462,290
2251,314
507,323
1757,998
665,714
274,640
653,385
664,417
1433,368
1139,26
1475,793
2179,269
1488,951
1138,51
2754,791
2164,384
2188,959
1843,968
2702,900
1063,717
1746,823
1366,648
2737,671
2845,612
2546,178
2299,363
224,92
990,960
2399,858
1093,204
123,281
2945,868
1926,328
1073,327
1012,996
464,845
2755,57
1205,610
2276,582
1927,274
2305,241
2691,551
1994,226
1548,894
184,100
637,648
2645,205
2398,428
2990,263
1896,546
2759,191
2615,746
921,771
867,162
1954,609
1691,718
2945,794
343,418
1340,125
695,283
2720,152
606,292
1252,689
613,197
1339,362
85,973
916,771
637,536
1863,634
2515,483
391,701
2963,892
2438,608
1234,703
826,58
1229,971
1882,786
467,332
220,903
2299,97
839,252
2844,957
71,818
167,579
2546,16
1475,578
2870,206
2837,328
1325,511
529,691
831,61
337,730
1554,870
1937,427
1192,444
1565,854
2630,842
2808,518
820,922
1954,631
2637,731
2668,914
1125,840
2483,310
402,708
1623,193
104,609
1511,933
749,313
2115,149
1710,627
454,238
436,335
198,43
295,493
64,792
2653,214
197,320
1590,118
1859,10
767,58
329,878
10,508
516,478
278,421
2079,303
824,994
2282,791
910,303
1649,888
2468,399
655,274
1565,646
2464,351
311,222
192,488
915,397
339,77
2759,960
1698,266
1410,56
2343,925
684,507
1133,259
1575,470
2254,130
1350,918
2698,625
2193,406
2961,916
834,210
822,196
1991,890
2825,699
2212,506
2007,517
1444,86
727,98
1092,963
1747,328
2452,257
1633,869
1507,476
2270,658
2654,338
2790,147
1180,375
2770,866
1289,811
1206,28
1141,197
2181,875
